epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
1,2.8484934949868608,2.1737387257805603,0.2543183909556987,0.4346381093057607,0.18771633231452733,0.3296094020167605
2,2.4199973046270324,1.7106303602882584,0.3345865650059156,0.508493353028065,0.26909238203080765,0.4372342442385467
3,2.2210567827652237,1.7033763521707217,0.3800446956750361,0.5321270310192023,0.31394135523960176,0.45936784496456373
4,2.0691884752609293,1.6027525916350762,0.41527540423294335,0.5752092565238799,0.34987126587915324,0.5323240303967394
5,1.9411932341510556,1.2092828676067862,0.4416458525042724,0.6378631216149679,0.3785969642803247,0.5777678406793874
6,1.848028860299647,1.2240291988245082,0.4635467332719863,0.6290004923682915,0.40100648417452617,0.5872649338564745
7,1.7861460240798976,0.9925369109384301,0.48181937688970683,0.7138109305760709,0.4200202875812913,0.6667755185750037
8,1.7178463770554353,0.9694162534411349,0.5001446036545287,0.7033481043820778,0.4394980933209835,0.6630201963883272
9,1.6887551264238214,0.9697932240295034,0.5112133561193637,0.6952240275726244,0.4475216353273524,0.6410951841508762
10,1.6558155686152942,0.93896344375986,0.5184435388458,0.7093796159527327,0.45814728799547133,0.6615077900011554
