model,imgsz,epochs,batch,sahi,slice_size,overlap_ratio,mAP50,mAP50_95,precision,recall,weights,timestamp,AP50_pedestrian,AP5095_pedestrian,AP50_bus,AP5095_bus,AP50_bicycle,AP5095_bicycle,AP50_motor,AP5095_motor,AP50_three_wheeler,AP5095_three_wheeler,AP50_car,AP5095_car,AP50_van,AP5095_van,AP50_people,AP5095_people,AP50_truck,AP5095_truck
yolov8s,640,50,4,True,512,0.2,0.5433,0.3255,,,c:\Users\Yasindu\Desktop\Stuff\5.ML Projects\deep-learning-projects\01_aerovision_lk\weights\yolov8s_baseline.pt,2026-03-24T03:50:00,0.6165,0.2953,0.6949,0.4788,0.2351,0.1096,0.5767,0.27,0.475,0.2923,0.8511,0.5996,0.5293,0.3936,0.4846,0.1981,0.426,0.2921
yolov8s,640,50,4,True,512,0.2,0.5433,0.3255,,,c:\Users\Yasindu\Desktop\Stuff\5.ML Projects\deep-learning-projects\01_aerovision_lk\weights\yolov8s_baseline.pt,2026-03-24T04:04:02,0.6165,0.2953,0.6949,0.4788,0.2351,0.1096,0.5767,0.27,0.475,0.2923,0.8511,0.5996,0.5293,0.3936,0.4846,0.1981,0.426,0.2921
