model,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
baseline_cnn,0.7138109305760709,0.6667755185750037,0.7137245273753989,0.6714758491509133
resnet50_frozen,0.9346381093057607,0.9214249306962504,-,-
resnet50_finetuned,0.9969226981782372,0.9953346104081264,0.9965627301743188,0.9951752139574854
efficientnet_b0_frozen,0.8931560807483998,0.8756795551489042,-,-
efficientnet_b0_finetuned,0.9961841457410144,0.9947553350151028,0.9963172109010556,0.994338652985073
